Genotype,Region,Population,DW_Site,Longitude,Latitude,Altitude,Density_2012,DBH_14,DBH_16_Int,Area_Growth_2016_cm2_year,Area_Growth_2014_cm2_year,Height_m_13,X2010_61_Bud_Flush,X2010_245_Bud_Set,X2010_259_Bud_Set,X2010_274_Bud_Set,Volume_m3,Root_GE,Stem_GE,Leaf_Lifespan
BESC-278,WA/BC,Skykomish,Sultan,-121.8080148,47.85903088,106.9,NA,143.5130494,179.5227405,36.16030423,32.31533633,10.34810016,3.25481435,3.327001429,3.962489211,5.274547962,0.158422144,NA,NA,246.8272762
BESC-279,WA/BC,Skykomish,Sultan,-121.8095593,47.85891781,106.9,0.402731758,151.5009878,188.9369439,40.16956441,36.09331406,10.42046566,3.835412223,3.89176996,4.476585643,5.506154832,0.168595339,NA,NA,246.8274331
BESC-28,Columbia,Columbia,Talley Way,-122.8867632,46.10564612,21.3,NA,137.4448039,171.4732629,32.84099651,29.6771783,9.514717377,2.363688089,2.750537958,3.154629132,4.802212958,0.142853777,NA,NA,255.3290702
BESC-280,WA/BC,Skykomish,Sultan,-121.8126067,47.85637314,106.9,NA,125.0514208,151.6949778,25.74186637,24.59838256,9.709517618,2.043871638,4.178258155,4.749579468,5.5029293,0.114911337,NA,NA,246.8309646
BESC-281,WA/BC,Skykomish,Monroe,-121.9619166,47.85146412,35.6,NA,144.0577441,180.3272561,36.47459157,32.6620096,10.90197546,2.029318604,3.603525287,3.961990745,5.275653527,0.16711068,NA,NA,246.8377773
BESC-282,WA/BC,Skykomish,Monroe,-121.962611,47.85130922,35.6,0.399878914,146.5603618,180.1462609,36.41221807,33.73309632,10.7691386,2.042597704,3.056306565,3.569505743,5.061682414,0.153071632,NA,NA,246.8379922
BESC-283,WA/BC,Skykomish,Monroe,-121.9634432,47.85109472,35.6,0.398158573,140.4158662,172.5669013,33.32892654,30.8802068,10.16344807,2.041294286,3.846907901,4.301702189,5.664712179,0.141340786,NA,NA,246.8382899
BESC-284,WA/BC,Skykomish,Monroe,-121.9690996,47.84552637,35.6,NA,140.8359518,172.2989192,33.21597704,31.0714585,10.01076137,2.029675122,2.753297821,3.679726304,5.044597041,0.137978554,NA,NA,246.8460176
BESC-285,WA/BC,Skykomish,Monroe,-121.9702492,47.84568664,35.6,NA,133.6608912,163.7354636,29.99106835,28.06305861,10.03140031,2.031175267,3.038428734,3.152214634,5.046567652,0.130247482,NA,NA,246.8457952
BESC-286,WA/BC,Skykomish,Monroe,-121.9699289,47.845951,35.6,NA,145.2460194,180.2754527,36.50291973,33.22142573,10.37682183,2.027273367,3.036984415,3.965864356,5.274655162,0.145584417,NA,NA,246.8454283
BESC-287,WA/BC,Skykomish,Monroe,-121.969192,47.84607707,35.6,0.409242087,143.8348132,175.6148124,34.60565885,32.53734625,10.29552989,1.80001315,1.909116766,2.860827019,4.299561153,0.149831357,NA,NA,246.8452534
BESC-288,WA/BC,Skykomish,Monroe,-121.9684114,47.8463188,35.6,0.394084647,128.5438474,158.9594452,28.40653883,25.95397938,10.25930753,2.03174399,3.608829714,4.719800676,5.50665108,0.125435398,NA,NA,246.8449179
BESC-289,WA/BC,Skykomish,Monroe,-121.9676702,47.84642852,35.6,NA,124.2762022,167.8968563,31.70981921,24.29356746,9.323113873,2.033852786,2.752048555,3.155702144,4.800363392,0.11670862,NA,NA,246.8447656
BESC-29,Columbia,Columbia,Talley Way,-122.8861222,46.10611056,21.3,NA,127.9691961,156.1073162,27.33708323,25.75658834,9.926102491,3.357161091,2.264476816,3.214571179,4.432718751,0.12006791,NA,NA,255.3284257
